index,permno,PERMCO,HSHRCD,DLSTCD,HTICK,HCOMNAM,HTSYMBOL,HNAICS,HPRIMEXC,HTRDSTAT,HSECSTAT,COMPNO,ISSUNO,HEXCD,HSICCD,NUMNAM,NUMSHR,NUMDEL,NUMNDI,BEGDAT,ENDDAT,BEGPRC,ENDPRC,BEGRET,ENDRET,MKTCAPDAY0
134,24205,20684,11,100,NEE,NEXTERA ENERGY INC,NEE,221118,N,A,R,0,0,1,4911,11,472,1,0,2/15/1950,12/31/2024,2/15/1950,12/31/2024,2/15/1950,12/31/2024,55474056.96
157,27959,20608,11,100,DUK,DUKE ENERGY CORP NEW,DUK,221118,N,A,R,0,0,1,4911,13,474,1,0,7/12/1961,12/31/2024,7/12/1961,12/31/2024,7/12/1961,12/31/2024,53555970
94,18411,21640,11,100,SO,SOUTHERN CO,SO,221118,N,A,R,0,0,1,4911,8,498,1,0,10/10/1929,12/31/2024,10/10/1929,12/31/2024,10/10/1929,12/31/2024,48098333.92
133,24109,20077,11,100,AEP,AMERICAN ELECTRIC POWER CO INC,AEP,221118,Q,A,R,60017770,23978,3,4911,10,481,1,85,9/1/1949,12/31/2024,9/1/1949,12/31/2024,9/1/1949,12/31/2024,30859845.12
46,13688,21356,11,100,PCG,P G & E CORP,PCG,221118,N,A,R,0,0,1,4931,13,533,1,0,12/31/1925,12/31/2024,12/31/1925,12/31/2024,12/31/1925,12/31/2024,30527116.79
79,15720,21543,11,100,EIX,EDISON INTERNATIONAL,EIX,221118,N,A,R,0,0,1,4911,10,496,1,0,5/27/1926,12/31/2024,5/27/1926,12/31/2024,5/27/1926,12/31/2024,23376939.25
117,22517,21376,11,100,PPL,P P L CORP,PPL,221118,N,A,R,0,0,1,4911,12,490,1,0,12/3/1945,12/31/2024,12/3/1945,12/31/2024,12/3/1945,12/31/2024,23127706.81
110,21776,21396,11,100,EXC,EXELON CORP,EXC,221118,Q,A,R,60059224,26438,3,4911,14,480,1,68,7/6/1943,12/31/2024,7/6/1943,12/31/2024,7/6/1943,12/31/2024,23005392.23
12,11404,20499,11,100,ED,CONSOLIDATED EDISON INC,ED,221118,N,A,R,0,0,1,4931,11,500,1,0,12/31/1925,12/31/2024,12/31/1925,12/31/2024,12/31/1925,12/31/2024,22437122.64
128,23712,21458,11,100,PEG,PUBLIC SERVICE ENTERPRISE GP INC,PEG,221118,N,A,R,0,0,1,4931,8,493,1,0,3/31/1948,12/31/2024,3/31/1948,12/31/2024,3/31/1948,12/31/2024,21950827.44
130,23931,21300,11,100,XEL,X C E L ENERGY INC,XEL,221118,Q,A,R,60019606,26264,3,4911,11,460,1,124,2/28/1949,12/31/2024,2/28/1949,12/31/2024,2/28/1949,12/31/2024,20633050.86
125,23536,21931,11,100,WEC,W E C ENERGY GROUP INC,WEC,221118,N,A,R,0,0,1,4911,11,486,1,0,11/21/1947,12/31/2024,11/21/1947,12/31/2024,11/21/1947,12/31/2024,18460438.33
16,11674,20574,11,100,DTE,D T E ENERGY CO,DTE,221118,N,A,R,0,0,1,4911,8,509,1,0,12/31/1925,12/31/2024,12/31/1925,12/31/2024,12/31/1925,12/31/2024,14836205.49
121,23026,21326,11,100,FE,FIRSTENERGY CORP,FE,221118,N,A,R,0,0,1,4911,8,489,1,0,9/13/1946,12/31/2024,9/13/1946,12/31/2024,9/13/1946,12/31/2024,13190920.95
